AAUSAT;27846;;437.450 ;437.450 ;9600bps GMSK;;inactive
AAUSAT-II;32788;;437.432 ;437.432 ;1200bps FFSK MSK;;active
AAUSAT-II;32788;;437.432 ;437.432 ;9600bps FSK;OZ2CUB;inactive
AAUSat-3;39087;;437.425 ;437.425 ;4800bps FSK CW;OZ3CUB;inactive
AAUSat-5;40948;;437.425 ;437.425 ;9600bps GMSK CW;OZ5CUB;active
AENEAS;38760;;437.600 ;437.600 ;1200bps AFSK;KE6YFA-1;active
AeroCube1;;;902/928;;9600bps GFSK;;failure
AeroCube-2;31122;;902-928;;9600bps GFSK;;inactive
AESP14;;;437.600 ;;9600bps GFSK;;inactive
AggieSat-4;;;436.250 ;;9k6/153k6 FSK;;
AISat;40054;;437.250 ;437.511 ;CW;DP0AIS;active
AIST-1 (RS-41);39492;;;435.265 ;CW;;active
AIST-2 (RS-43);39133;;435.215 ;435.265 ;FM CW;;active
ALEXANDER (PhoneSat2);39146;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW;reentered
ALICE;39467;;460.xxx;;GFSK;(non-amateur);
All-Star/THEIA;39683;;2401.700 ;;256Kbps BPSK;COSGC1AS;
ALMASat-1;38078;;437.465/2407.850;437.465 ;1200bps FSK;ALMASAT;inactive
ANDE-2 (Castor);35694;;145.825 ;145.825 ;1200bps AFSK;KD4HBO-1;reentered
ANDE-2 (Pollux);35693;;145.825 ;145.825 ;1200bps AFSK;POLLUX-1;reentered
ANTELSat;40034;;437.575/2403.000;437.280 ;1k2 AFSK GFSK/MSK CW;CX1SAT;active
AO-1 (Oscar-1);214;;;144.983 ;CW;;reentered
AO-10 (Phase-3B);14129;435.030-146.180;145.975-145.825;145.810 ;SSB CW;;inactive
AO-13 (Phase-3C);19216;435.423-435.573;145.975-145.825;145.812 ;SSB CW;;reentered
AO-16 (PACSAT);20439;145.920 ;437.026 ;;FM USB;;inactive
AO-16 (PACSAT);20439;145.920 ;437.026 ;2401.143 ;1200bps JAS;PACSAT-11 -12;inactive
AO-2 (Oscar-2);305;;;144.983 ;CW;;reentered
AO-27 (EYESAT-A);22825;145.850 ;436.795 ;436.795 ;1200bps AFSK FM;;inactive
